Year,Value of Import (in ? Crore),Growth in Value of Imports ( %),Net Custom Revenue from Import Duties (in ? Crore),Growth in Revenue from Import Duty (%),Collection Rates (Percent)
2000-01,230873,NA,46569,NA,20.2
2001-02,245200,6.2,39406,-15.4,16.1
2002-03,297206,21.2,44137,12,14.9
2003-04,359108,20.8,48003,8.8,13.4
2004-05,501065,39.5,56745,18.2,11.3
2005-06,660409,31.8,64201,13.1,9.7
2006-07,840506,27.3,85867,33.7,10.2
2007-08,1012312,20.4,100648,17.2,9.9
2008-09,1374436,35.8,94581,-6,6.9
2009-10,1363736,-0.8,80870,-14.5,5.9
2010-11,1683467,23.4,129986,60.7,7.7
2011-12,2345463,39.3,139610,7.4,6
2012-13,2669162,13.8,159632,14.3,6
2013-14,2715434,1.7,166835,4.5,6.1
2014-15,2737087,0.8,188016,12.7,6.9
2015-16,2490298,-9,209314,11.3,8.4
2016-17,2577666,3.5,224291,7.2,8.7
